flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,sheath_gain,bleed_rate,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,0.04,0.08,0.36,0.9056152927120669,0.47523510971786836,0.003952569169960474,0.09542631281761717,0.5784883720930233,0.5784883720930233,0.17587209302325582,0.0,0.42151162790697677,0.10029306414848584,0.4664102477491058,0.7889199783439153
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,0.12,0.08,0.36,0.8239074550128535,0.45172656800563776,0.003952569169960474,0.19480519480519481,0.6419354838709678,0.6419354838709678,0.22419354838709676,0.0,0.3580645161290323,0.08140670791273201,0.4856650137017062,0.7582516027735502
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.08,0.08,0.04,0.24,0.8548812664907651,0.46088193456614507,0.003952569169960474,0.20214568040654998,0.6107921928817451,0.6107921928817451,0.32261768082663606,0.0,0.38920780711825487,0.07652230543796809,0.4797982081561588,0.7377409123424173
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.08,0.12,0.08,0.36,0.8299866131191432,0.45354791514264814,0.003952569169960474,0.22416713721061546,0.605080831408776,0.605080831408776,0.23210161662817552,0.0,0.394919168591224,0.07163790296320417,0.4852470410513896,0.7560814916328175
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,0.08,0.08,0.36,0.8873056994818653,0.47014413177762526,0.003952569169960474,0.17334839073969507,0.6070252469813392,0.6070252469813392,0.22283205268935236,0.0,0.3929747530186608,0.08563985672419408,0.47858683228786225,0.7697668676177517
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,0.08,0.12,0.24,0.8484848484848485,0.45901639344262296,0.003952569169960474,0.20383963862224733,0.5945626477541371,0.5945626477541371,0.32860520094562645,0.0,0.40543735224586286,0.08205796157603387,0.4805338495013558,0.736462341475657
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.08,0.04,0.08,0.36,0.8896631823461092,0.47080516287645974,0.003952569169960474,0.07735742518351214,0.5075301204819277,0.5075301204819277,0.12650602409638553,0.0,0.4924698795180723,0.10810810810810811,0.4639631848851703,0.8024602504547068
golden,phi,0.6180339887498948,13,13,0.04,0.78,13,0.08,0.08,0.04,0.36,0.8785377358490566,0.46767106089139987,0.003952569169960474,0.09655561829474874,0.39191290824261277,0.39191290824261277,0.12130637636080871,0.0,0.6080870917573873,0.10257245197004233,0.45920567763037956,0.7954430068186145
golden,phi,0.6180339887498948,13,13,0.04,0.78,13,0.2,0.08,0.12,0.24,0.8217703349282297,0.4510833880499015,0.003952569169960474,0.13608130999435347,0.3973727422003284,0.3973727422003284,0.270935960591133,0.0,0.6026272577996716,0.09019863236730706,0.45791362815349823,0.7380531652718822
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.08,0.12,0.04,0.24,0.8299748110831234,0.45354439091534754,0.003952569169960474,0.1756070016939582,0.4295942720763723,0.4295942720763723,0.24105011933174225,0.0,0.5704057279236276,0.08336046890263758,0.4653202123798522,0.7514118705011906
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.08,0.12,0.12,0.24,0.8287153652392947,0.453168044077135,0.003952569169960474,0.176171654432524,0.4295942720763723,0.4295942720763723,0.24105011933174225,0.0,0.5704057279236276,0.08303484207098664,0.4654117854634602,0.7511872049269106
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.14,0.12,0.08,0.36,0.8476903870162297,0.45878378378378376,0.003952569169960474,0.1603613777526821,0.41299303944315546,0.41299303944315546,0.16009280742459397,0.0,0.5870069605568445,0.08759361771409964,0.4658708851922503,0.7820387791900308
golden,phi,0.6180339887498948,13,13,0.04,0.78,21,0.2,0.12,0.04,0.36,0.8460559796437659,0.4583046175051689,0.003952569169960474,0.1767363071710898,0.422680412371134,0.422680412371134,0.17869415807560138,0.0,0.5773195876288659,0.08336046890263758,0.46407210639188,0.774924377126251
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.08,0.04,0.04,0.24,0.8363417569193743,0.45543905635648757,0.003952569169960474,0.13438735177865613,0.5875370919881305,0.5875370919881305,0.2997032640949555,0.10979228486646884,0.4124629080118694,0.09019863236730706,0.4650324338811648,0.7120569759511585
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.14,0.04,0.04,0.24,0.8432563791008505,0.4574818721160185,0.003952569169960474,0.13946922642574816,0.5896296296296296,0.5896296296296296,0.3125925925925926,0.10814814814814815,0.4103703703703704,0.09117551286225985,0.46393986071175053,0.7132140714892647
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.14,0.04,0.12,0.24,0.8385922330097088,0.4561056105610561,0.003952569169960474,0.14059853190287974,0.5849335302806499,0.5849335302806499,0.31314623338257014,0.10635155096011817,0.4150664697193501,0.09150113969391079,0.46366381739212936,0.7126400862081431
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,0.08,0.04,0.24,0.857331571994716,0.4615931721194879,0.003952569169960474,0.20214568040654998,0.5929824561403508,0.5929824561403508,0.3216374269005848,0.1111111111111111,0.4070175438596491,0.08336046890263758,0.4824776822483562,0.7161344535456231
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.2,0.04,0.04,0.36,0.89937106918239,0.4735099337748344,0.003952569169960474,0.14342179559570864,0.5974304068522484,0.5974304068522484,0.1980728051391863,0.10492505353319058,0.4025695931477516,0.08726799088244871,0.4833389489328974,0.7607292332624843
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.2,0.04,0.08,0.36,0.89937106918239,0.4735099337748344,0.003952569169960474,0.14342179559570864,0.5974304068522484,0.5974304068522484,0.1980728051391863,0.10492505353319058,0.4025695931477516,0.08726799088244871,0.4833389489328974,0.7607292332624843
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.2,0.04,0.12,0.24,0.8413461538461539,0.45691906005221933,0.003952569169960474,0.13099943534726144,0.5307692307692308,0.5307692307692308,0.3123076923076923,0.0,0.46923076923076923,0.09378052751546727,0.43812300818341177,0.7310568419424629
golden,phi,0.6180339887498948,13,13,0.08,0.68,21,0.2,0.08,0.12,0.24,0.835234474017744,0.4551104972375691,0.003952569169960474,0.17843026538678713,0.5132211538461539,0.5132211538461539,0.2776442307692308,0.0,0.48677884615384615,0.08075545424943015,0.47199089303786157,0.7411024023119315
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,0.04,0.12,0.24,0.8197474167623421,0.4504731861198738,0.003952569169960474,0.10107284020327499,0.4016,0.4016,0.224,0.0,0.5984,0.09605991533702377,0.4579233765478895,0.7560427863713662
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,0.08,0.12,0.36,0.8785377358490566,0.46767106089139987,0.003952569169960474,0.09655561829474874,0.39191290824261277,0.39191290824261277,0.12130637636080871,0.0,0.6080870917573873,0.10257245197004233,0.45920567763037956,0.7954430068186145
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,0.12,0.04,0.24,0.8258766626360339,0.452317880794702,0.003952569169960474,0.14342179559570864,0.4090150250417362,0.4090150250417362,0.2654424040066778,0.0,0.5909849749582637,0.08987300553565614,0.46266983948119744,0.7429305984406896
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.08,0.12,0.12,0.24,0.8258766626360339,0.452317880794702,0.003952569169960474,0.14342179559570864,0.4090150250417362,0.4090150250417362,0.2654424040066778,0.0,0.5909849749582637,0.08987300553565614,0.46266983948119744,0.7429305984406896
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.14,0.04,0.12,0.36,0.8945538818076477,0.47217125382263,0.003952569169960474,0.07284020327498589,0.37329286798179057,0.37329286798179057,0.11836115326251896,0.0,0.6267071320182094,0.1045262129599479,0.4573236979647942,0.78667753525274
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.14,0.12,0.08,0.36,0.8665865384615384,0.4642627173213136,0.003952569169960474,0.11914172783738002,0.38125,0.38125,0.109375,0.0,0.61875,0.09443178117876913,0.46266914006315973,0.7898400206795997
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.2,0.12,0.08,0.36,0.8599033816425121,0.4623376623376623,0.003952569169960474,0.12648221343873517,0.3877551020408163,0.3877551020408163,0.11773940345368916,0.0,0.6122448979591837,0.0941061543471182,0.46351162411960767,0.7902987300573641
