model,best_anchor,best_composite,mean_composite,mean_admission_rate,mean_write_rate,mean_unhandled_rate,mean_assimilation_error,mean_surrogate_gap
raw_write,random_irrat_1,0.6491485463089817,0.579631826199573,0.9848484848484849,0.34527690225599916,0.0,0.026980980384655375,-0.059547753483356836
surprise_only,silver,0.8043055984596486,0.7437553476251814,0.38155597479267744,0.9848484848484849,0.0,0.032654439924175716,0.114280680020178
reject_unhandled,noble_1,0.8397132386529236,0.6382997952392012,0.6928650247258995,0.3813253836145612,0.08183281497062934,0.028070383844405574,-0.01700264627695114
assimilated_surprise,noble_1,0.8158245829076448,0.641126526229227,0.6634523591008804,0.3813253836145612,0.06540749322022321,0.028070383844405574,-0.06365246267832037
assimilated_surprise_witness,noble_1,0.8158245829076448,0.6411382002568046,0.6634523591008804,0.38135814139915664,0.06540749322022321,0.028070383844405574,-0.06155982022045381
