family,pareto_front_frequency,top5pct_frequency
bounded_cf_12,0.7654320987654321,0.35185185185185186
bounded_cf_123,0.8395061728395061,0.24691358024691357
bounded_cf_1234,0.8518518518518519,0.32098765432098764
bronze,0.2222222222222222,0.08641975308641975
copper,0.06172839506172839,0.006172839506172839
golden,0.2345679012345679,0.04938271604938271
known_irrational,0.7839506172839507,0.30864197530864196
near_golden,0.8950617283950617,0.6604938271604939
noble,0.9814814814814815,0.3888888888888889
random_uniform,0.8395061728395061,0.345679012345679
rational,0.18518518518518517,0.006172839506172839
rational_fib,0.19753086419753085,0.012345679012345678
silver,0.32098765432098764,0.22839506172839505
unbounded_cf,0.8580246913580247,0.1728395061728395
